,Invoice ID,Name,Order Date,State,City,Categories,Subcategories,Ratings,Quantity,MRP,Final Price,GST%%,Covid,City_Tier,Discount%,Delivery Fee%,Sale,Brand,Month,Year,WEEKDAY,Log_Final Price,Time_Month,Gender,Current Job Title,Marital Status,Do you have to care for anyone with chronic illness?,Income (per month),Preferred Mode of Payment,Do you practise meditation? Yes/No,If yes,Do you do any form of exercise?,If yes.1, How often do you volunteer for social-service activities?,Hobbies_Count,How often do you pursue your hobbies?,"In most ways, my life is close to my ideal",The Conditions in my life are excellent.,"So far, I have got the important things I want in my life","If I could live my life over, I would change almost nothing",Many people have directly or indirectly contributed to my progress in life,I feel good when I co-operate with others,"When making a decision, I take other people's needs and feelings into account.","It is my duty to take care of my family, even when I have to sacrifice what I want.",Honesty is important to achieve success,Social inequalities bother me,What I am today is solely because of my hard work and talent,People should keep their troubles to themselves,It is important that I do my job better than others,Winning is everything,I don’t worry about others as long as I am happy,It upsets me when my work is not recognized by others,Traditional values are important for me,I plan for the long-term,I am willing to give up today’s fun for future success,I believe persistence is key to success,Saving money is important to me,It is okay to use shortcuts to get what you want,I like to get quick results,I would rather spend money today than save for future,"When my routine is disturbed, it upsets me","I admire people who own expensive homes, cars, and clothes",The things I own say a lot about how well I’m doing in life,I aspire a luxurious and comfortable lifestyle,My life would be better if I owned certain things I don’t have,I’d be happier if I could afford to buy more things,I don’t pay much attention to the material objects other people own,I usually buy only the things I need,I have all the things I really need to enjoy life,My happiness does not depend on things I own,There is a higher purpose to life than comfort and luxury,I believe success in life does not mean becoming rich,I segregate waste before its disposal,I try to conserve water,I try to educate people I know about climate change,I sign petitions related to environmental issues,I try to conserve electricity,I walk/cycle/use public transport to save fuel,Age,has_child,Lives_in_city_tier
351,FACR8Q2102337307,G3M3R10,2021-02-28,Maharashtra,Nashik,Footwear,Men's Footwear,4.2,1,1886.0,1886.0,18%,No,Tier_2,0,0,Yes,Woodland,2,2021,Weekend,7.542213463193403,End,Male,Student,Not Married,No,Prefer not to say,UPI,No,No,No,No,Rarely,2.0,very often,4.0,4.0,5.0,4.0,5.0,6.0,5.0,4.0,4.0,4.0,4.0,2.0,5.0,3.0,2.0,3.0,2.0,3.0,4.0,3.0,4.0,4.0,2.0,3.0,6.0,4.0,5.0,4.0,4.0,4.0,2.0,5.0,5.0,5.0,4.0,4.0,4.0,6.0,5.0,3.0,6.0,4.0,25.0,No,Tier_2
352,FAGRMQ2200037681,G3M3R10,2021-08-25,Maharashtra,Nashik,"Bags, Wallets & Belts",Bags & Backpacks,4.3,1,429.0,469.0,18%,No,Tier_2,0,10,Yes,AirCase,8,2021,Weekday,6.150602768446279,End,Male,Student,Not Married,No,Prefer not to say,UPI,No,No,No,No,Rarely,2.0,very often,4.0,4.0,5.0,4.0,5.0,6.0,5.0,4.0,4.0,4.0,4.0,2.0,5.0,3.0,2.0,3.0,2.0,3.0,4.0,3.0,4.0,4.0,2.0,3.0,6.0,4.0,5.0,4.0,4.0,4.0,2.0,5.0,5.0,5.0,4.0,4.0,4.0,6.0,5.0,3.0,6.0,4.0,25.0,No,Tier_2
353,FAGM5D2200158507,G3M3R10,2021-09-01,Maharashtra,Nashik,Health & Personal Care Appliances,Personal Care Appliances,4.3,1,854.0,854.0,18%,No,Tier_2,0,0,Yes,NOVA,9,2021,Weekday,6.74993119378857,Beginning,Male,Student,Not Married,No,Prefer not to say,UPI,No,No,No,No,Rarely,2.0,very often,4.0,4.0,5.0,4.0,5.0,6.0,5.0,4.0,4.0,4.0,4.0,2.0,5.0,3.0,2.0,3.0,2.0,3.0,4.0,3.0,4.0,4.0,2.0,3.0,6.0,4.0,5.0,4.0,4.0,4.0,2.0,5.0,5.0,5.0,4.0,4.0,4.0,6.0,5.0,3.0,6.0,4.0,25.0,No,Tier_2
354,FADF7F2200023619,G3M3R10,2021-08-26,Maharashtra,Nashik,Home & Kitchen,Kitchen Appliances,4.0,1,429.0,429.0,5%,No,Tier_2,0,0,Yes,Royatto,8,2021,Weekday,6.061456918928017,End,Male,Student,Not Married,No,Prefer not to say,UPI,No,No,No,No,Rarely,2.0,very often,4.0,4.0,5.0,4.0,5.0,6.0,5.0,4.0,4.0,4.0,4.0,2.0,5.0,3.0,2.0,3.0,2.0,3.0,4.0,3.0,4.0,4.0,2.0,3.0,6.0,4.0,5.0,4.0,4.0,4.0,2.0,5.0,5.0,5.0,4.0,4.0,4.0,6.0,5.0,3.0,6.0,4.0,25.0,No,Tier_2
355,FAETLP2106440118,G3M3R11,2021-03-13,Maharashtra,Loni,Sports,Basketball,4.3,1,378.0,418.0,12%,No,Tier 3,0,11,Yes,NIVIA,3,2021,Weekend,6.035481432524756,Mid,Male,Doctor,Not Married,Yes,Prefer not to say,UPI,No,No,Yes,everyday,Sometimes,2.0,Rarely,4.0,4.0,5.0,4.0,5.0,6.0,5.0,4.0,5.0,4.0,4.0,2.0,6.0,4.0,3.0,3.0,4.0,6.0,5.0,3.0,4.0,6.0,4.0,4.0,2.0,4.0,2.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,5.0,3.0,4.0,6.0,4.0,4.0,6.0,4.0,24.0,No,Tier 3
356,FAAUYM2000069126,G3M3R11,2019-11-13,Maharashtra,Loni,Clothing and Accessories,Bottomwear,4.0,1,1250.0,1250.0,12%,No,Tier 3,0,0,No,Jockey,11,2019,Weekday,7.1308988302963465,Mid,Male,Doctor,Not Married,Yes,Prefer not to say,UPI,No,No,Yes,everyday,Sometimes,2.0,Rarely,4.0,4.0,5.0,4.0,5.0,6.0,5.0,4.0,5.0,4.0,4.0,2.0,6.0,4.0,3.0,3.0,4.0,6.0,5.0,3.0,4.0,6.0,4.0,4.0,2.0,4.0,2.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,5.0,3.0,4.0,6.0,4.0,4.0,6.0,4.0,24.0,No,Tier 3
357,FACRC82000163570,G3M3R11,2019-12-06,Maharashtra,Loni,Footwear,Men's Footwear,4.4,1,349.0,349.0,5%,No,Tier 3,0,0,Yes,Sparx,12,2019,Weekday,5.855071922202427,Beginning,Male,Doctor,Not Married,Yes,Prefer not to say,UPI,No,No,Yes,everyday,Sometimes,2.0,Rarely,4.0,4.0,5.0,4.0,5.0,6.0,5.0,4.0,5.0,4.0,4.0,2.0,6.0,4.0,3.0,3.0,4.0,6.0,5.0,3.0,4.0,6.0,4.0,4.0,2.0,4.0,2.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,5.0,3.0,4.0,6.0,4.0,4.0,6.0,4.0,24.0,No,Tier 3
358,FAB05X2000194252,G3M3R11,2020-01-06,Maharashtra,Loni,Clothing and Accessories,Topwear,4.3,1,764.0,764.0,5%,No,Tier 3,0,0,No,Roadster,1,2020,Weekday,6.638567789166521,Beginning,Male,Doctor,Not Married,Yes,Prefer not to say,UPI,No,No,Yes,everyday,Sometimes,2.0,Rarely,4.0,4.0,5.0,4.0,5.0,6.0,5.0,4.0,5.0,4.0,4.0,2.0,6.0,4.0,3.0,3.0,4.0,6.0,5.0,3.0,4.0,6.0,4.0,4.0,2.0,4.0,2.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,5.0,3.0,4.0,6.0,4.0,4.0,6.0,4.0,24.0,No,Tier 3
359,FAA7ZB2000016801,G3M3R11,2020-01-06,Maharashtra,Loni,Footwear,Men's Footwear,4.0,1,316.0,316.0,5%,No,Tier 3,0,0,No,Sparx,1,2020,Weekday,5.755742213586912,Beginning,Male,Doctor,Not Married,Yes,Prefer not to say,UPI,No,No,Yes,everyday,Sometimes,2.0,Rarely,4.0,4.0,5.0,4.0,5.0,6.0,5.0,4.0,5.0,4.0,4.0,2.0,6.0,4.0,3.0,3.0,4.0,6.0,5.0,3.0,4.0,6.0,4.0,4.0,2.0,4.0,2.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,5.0,3.0,4.0,6.0,4.0,4.0,6.0,4.0,24.0,No,Tier 3
360,FAAAWR1902483993,G3M3R12,2019-08-07,Maharashtra,Nashik,Clothing and Accessories,Dresses and Gowns,4.4,1,1265.0,1265.0,12%,No,Tier_2,0,0,Yes,Miss,8,2019,Weekday,7.142827401161621,Beginning,Female,Student,Not Married,No,Prefer not to say,UPI,No,No,Yes,everyday,Sometimes,2.0,very often,5.0,4.0,6.0,4.0,5.0,6.0,4.0,5.0,3.0,4.0,4.0,2.0,5.0,4.0,2.0,3.0,2.0,3.0,4.0,3.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,3.0,4.0,2.0,3.0,5.0,5.0,5.0,4.0,4.0,6.0,5.0,3.0,6.0,4.0,23.0,No,Tier 3
361,FAB1GD1900037636,G3M3R12,2019-08-07,Maharashtra,Nashik,Footwear,Women's Footwear,4.1,1,499.0,499.0,5%,No,Tier_2,0,0,Yes,Jade,8,2019,Weekday,6.212606095751519,Beginning,Female,Student,Not Married,No,Prefer not to say,UPI,No,No,Yes,everyday,Sometimes,2.0,very often,5.0,4.0,6.0,4.0,5.0,6.0,4.0,5.0,3.0,4.0,4.0,2.0,5.0,4.0,2.0,3.0,2.0,3.0,4.0,3.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,3.0,4.0,2.0,3.0,5.0,5.0,5.0,4.0,4.0,6.0,5.0,3.0,6.0,4.0,23.0,No,Tier 3
362,FAB1GD1900254775,G3M3R12,2019-10-11,Maharashtra,Nashik,Clothing and Accessories,Bottomwear,3.9,1,772.0,772.0,5%,No,Tier_2,0,0,No,Levi's,10,2019,Weekday,6.648984550024776,Mid,Female,Student,Not Married,No,Prefer not to say,UPI,No,No,Yes,everyday,Sometimes,2.0,very often,5.0,4.0,6.0,4.0,5.0,6.0,4.0,5.0,3.0,4.0,4.0,2.0,5.0,4.0,2.0,3.0,2.0,3.0,4.0,3.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,3.0,4.0,2.0,3.0,5.0,5.0,5.0,4.0,4.0,6.0,5.0,3.0,6.0,4.0,23.0,No,Tier 3
363,FAETLP2103158725,G3M3R12,2020-11-14,Maharashtra,Nashik,Health & Personal Care Appliances,Personal Care Appliances,4.4,1,4999.0,4999.0,18%,1st Wave,Tier_2,0,0,Yes,Braun,11,2020,Weekend,8.51699317141357,Mid,Female,Student,Not Married,No,Prefer not to say,UPI,No,No,Yes,everyday,Sometimes,2.0,very often,5.0,4.0,6.0,4.0,5.0,6.0,4.0,5.0,3.0,4.0,4.0,2.0,5.0,4.0,2.0,3.0,2.0,3.0,4.0,3.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,3.0,4.0,2.0,3.0,5.0,5.0,5.0,4.0,4.0,6.0,5.0,3.0,6.0,4.0,23.0,No,Tier 3
364,FAFO7Z2100910370,G3M3R12,2021-02-08,Maharashtra,Nashik,Watches,Wrist Watches,4.5,1,1498.0,1498.0,18%,No,Tier_2,0,0,Yes,Van,2,2021,Weekday,7.311886164077165,Beginning,Female,Student,Not Married,No,Prefer not to say,UPI,No,No,Yes,everyday,Sometimes,2.0,very often,5.0,4.0,6.0,4.0,5.0,6.0,4.0,5.0,3.0,4.0,4.0,2.0,5.0,4.0,2.0,3.0,2.0,3.0,4.0,3.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,3.0,4.0,2.0,3.0,5.0,5.0,5.0,4.0,4.0,6.0,5.0,3.0,6.0,4.0,23.0,No,Tier 3
365,FABEKU2200001027,G3M3R12,2021-07-25,Delhi,New Delhi,Clothing and Accessories,Clothing Accessories,4.3,1,595.0,570.0,5%,No,Tier_1,5,0,Yes,MENSOME,7,2021,Weekend,6.345636360828596,End,Female,Student,Not Married,No,Prefer not to say,UPI,No,No,Yes,everyday,Sometimes,2.0,very often,5.0,4.0,6.0,4.0,5.0,6.0,4.0,5.0,3.0,4.0,4.0,2.0,5.0,4.0,2.0,3.0,2.0,3.0,4.0,3.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,3.0,4.0,2.0,3.0,5.0,5.0,5.0,4.0,4.0,6.0,5.0,3.0,6.0,4.0,23.0,No,Tier 3
366,FAC7XD2204044643,G3M3R12,2021-09-17,Haryana,Rohtak,Pens & Stationery,Pens & Stationery,4.5,1,144.0,144.0,12%,No,Tier 3,0,0,Yes,Classmate,9,2021,Weekday,4.969813299576001,Mid,Female,Student,Not Married,No,Prefer not to say,UPI,No,No,Yes,everyday,Sometimes,2.0,very often,5.0,4.0,6.0,4.0,5.0,6.0,4.0,5.0,3.0,4.0,4.0,2.0,5.0,4.0,2.0,3.0,2.0,3.0,4.0,3.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,3.0,4.0,2.0,3.0,5.0,5.0,5.0,4.0,4.0,6.0,5.0,3.0,6.0,4.0,23.0,No,Tier 3
367,FAEWS82200148262,G3M3R12,2021-09-17,Haryana,Rohtak,Beauty and Grooming,Makeup,4.4,1,140.0,119.0,18%,No,Tier 3,15,0,Yes,NIVEA,9,2021,Weekday,4.77912349311153,Mid,Female,Student,Not Married,No,Prefer not to say,UPI,No,No,Yes,everyday,Sometimes,2.0,very often,5.0,4.0,6.0,4.0,5.0,6.0,4.0,5.0,3.0,4.0,4.0,2.0,5.0,4.0,2.0,3.0,2.0,3.0,4.0,3.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,3.0,4.0,2.0,3.0,5.0,5.0,5.0,4.0,4.0,6.0,5.0,3.0,6.0,4.0,23.0,No,Tier 3
368,FADZ0G2200123239,G3M3R12,2021-09-17,Haryana,Rohtak,Audio & Video,Headphones,4.1,1,649.0,649.0,18%,No,Tier 3,0,0,Yes,SONY,9,2021,Weekday,6.47543271670409,Mid,Female,Student,Not Married,No,Prefer not to say,UPI,No,No,Yes,everyday,Sometimes,2.0,very often,5.0,4.0,6.0,4.0,5.0,6.0,4.0,5.0,3.0,4.0,4.0,2.0,5.0,4.0,2.0,3.0,2.0,3.0,4.0,3.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,3.0,4.0,2.0,3.0,5.0,5.0,5.0,4.0,4.0,6.0,5.0,3.0,6.0,4.0,23.0,No,Tier 3
369,FAD7DM2200046056,G3M3R12,2021-09-17,Haryana,Rohtak,Pens & Stationery,Pens & Stationery,3.9,1,190.0,190.0,5%,No,Tier 3,0,0,Yes,SKYFUN,9,2021,Weekday,5.247024072160486,Mid,Female,Student,Not Married,No,Prefer not to say,UPI,No,No,Yes,everyday,Sometimes,2.0,very often,5.0,4.0,6.0,4.0,5.0,6.0,4.0,5.0,3.0,4.0,4.0,2.0,5.0,4.0,2.0,3.0,2.0,3.0,4.0,3.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,3.0,4.0,2.0,3.0,5.0,5.0,5.0,4.0,4.0,6.0,5.0,3.0,6.0,4.0,23.0,No,Tier 3
370,FAHULK2200032893,G3M3R12,2021-09-17,Haryana,Rohtak,Footwear,Women's Footwear,3.6,1,265.0,251.0,5%,No,Tier 3,6,0,Yes,bizwiz,9,2021,Weekday,5.5254529391317835,Mid,Female,Student,Not Married,No,Prefer not to say,UPI,No,No,Yes,everyday,Sometimes,2.0,very often,5.0,4.0,6.0,4.0,5.0,6.0,4.0,5.0,3.0,4.0,4.0,2.0,5.0,4.0,2.0,3.0,2.0,3.0,4.0,3.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,3.0,4.0,2.0,3.0,5.0,5.0,5.0,4.0,4.0,6.0,5.0,3.0,6.0,4.0,23.0,No,Tier 3
371,FAEL782200009131,G3M3R12,2021-09-17,Haryana,Rohtak,Clothing and Accessories,Bottomwear,4.3,1,649.0,649.0,5%,No,Tier 3,0,0,Yes,scrott,9,2021,Weekday,6.47543271670409,Mid,Female,Student,Not Married,No,Prefer not to say,UPI,No,No,Yes,everyday,Sometimes,2.0,very often,5.0,4.0,6.0,4.0,5.0,6.0,4.0,5.0,3.0,4.0,4.0,2.0,5.0,4.0,2.0,3.0,2.0,3.0,4.0,3.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,3.0,4.0,2.0,3.0,5.0,5.0,5.0,4.0,4.0,6.0,5.0,3.0,6.0,4.0,23.0,No,Tier 3
372,FAH4JR2201084514,G3M3R12,2021-09-21,Haryana,Rohtak,Clothing and Accessories,Bottomwear,3.7,1,789.0,714.0,5%,No,Tier 3,10,0,Yes,JOCKEY,9,2021,Weekday,6.570882962339584,End,Female,Student,Not Married,No,Prefer not to say,UPI,No,No,Yes,everyday,Sometimes,2.0,very often,5.0,4.0,6.0,4.0,5.0,6.0,4.0,5.0,3.0,4.0,4.0,2.0,5.0,4.0,2.0,3.0,2.0,3.0,4.0,3.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,3.0,4.0,2.0,3.0,5.0,5.0,5.0,4.0,4.0,6.0,5.0,3.0,6.0,4.0,23.0,No,Tier 3
373,FAB0D62000311017,G3M4R1,2020-01-19,Andhra Pradesh,Nellore,Mobiles & Accessories,Mobiles,4.2,1,8999.0,8099.0,12%,No,Tier_2,11,0,No,Motorola,1,2020,Weekend,8.99949587624899,Mid,Male,Automobile Engineer,Married,No,"Rs. 50,000 – 75,000",Credit Card,Yes,everyday,Yes,everyday,Sometimes,1.0,very often,4.0,4.0,5.0,3.0,5.0,6.0,6.0,7.0,5.0,4.0,5.0,3.0,5.0,4.0,4.0,6.0,7.0,5.0,3.0,3.0,4.0,5.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,5.0,5.0,5.0,7.0,7.0,1.0,2.0,1.0,1.0,3.0,4.0,48.0,Yes,Tier 3
374,FAC9PN2000010414,G3M4R1,2020-02-03,Andhra Pradesh,Nellore,Pens & Stationery,Pens & Stationery,4.1,1,435.0,435.0,18%,No,Tier_2,0,0,No,ak,2,2020,Weekday,6.075346031088684,Beginning,Male,Automobile Engineer,Married,No,"Rs. 50,000 – 75,000",Credit Card,Yes,everyday,Yes,everyday,Sometimes,1.0,very often,4.0,4.0,5.0,3.0,5.0,6.0,6.0,7.0,5.0,4.0,5.0,3.0,5.0,4.0,4.0,6.0,7.0,5.0,3.0,3.0,4.0,5.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,5.0,5.0,5.0,7.0,7.0,1.0,2.0,1.0,1.0,3.0,4.0,48.0,Yes,Tier 3
375,FAB0D62000389942,G3M4R1,2020-02-18,Andhra Pradesh,Nellore,Mobiles & Accessories,Mobiles,4.4,1,7999.0,7999.0,12%,1st Wave,Tier_2,0,0,No,Realme,2,2020,Weekday,8.987071812848821,Mid,Male,Automobile Engineer,Married,No,"Rs. 50,000 – 75,000",Credit Card,Yes,everyday,Yes,everyday,Sometimes,1.0,very often,4.0,4.0,5.0,3.0,5.0,6.0,6.0,7.0,5.0,4.0,5.0,3.0,5.0,4.0,4.0,6.0,7.0,5.0,3.0,3.0,4.0,5.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,5.0,5.0,5.0,7.0,7.0,1.0,2.0,1.0,1.0,3.0,4.0,48.0,Yes,Tier 3
376,FACC652000021375,G3M4R1,2020-02-21,Andhra Pradesh,Nellore,Beauty and Grooming,Bath & Shower,4.2,1,405.0,405.0,18%,1st Wave,Tier_2,0,0,Yes,Himalaya,2,2020,Weekday,6.003887067106539,End,Male,Automobile Engineer,Married,No,"Rs. 50,000 – 75,000",Credit Card,Yes,everyday,Yes,everyday,Sometimes,1.0,very often,4.0,4.0,5.0,3.0,5.0,6.0,6.0,7.0,5.0,4.0,5.0,3.0,5.0,4.0,4.0,6.0,7.0,5.0,3.0,3.0,4.0,5.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,5.0,5.0,5.0,7.0,7.0,1.0,2.0,1.0,1.0,3.0,4.0,48.0,Yes,Tier 3
377,EAAAAB-03977388,G3M4R1,2020-03-10,Andhra Pradesh,Ongole,Clothing and Accessories,Automotive Accessories,3.5,1,1599.0,1599.0,18%,1st Wave,Tier 3,0,0,Yes,Complete,3,2020,Weekday,7.377133712833954,Mid,Male,Automobile Engineer,Married,No,"Rs. 50,000 – 75,000",Credit Card,Yes,everyday,Yes,everyday,Sometimes,1.0,very often,4.0,4.0,5.0,3.0,5.0,6.0,6.0,7.0,5.0,4.0,5.0,3.0,5.0,4.0,4.0,6.0,7.0,5.0,3.0,3.0,4.0,5.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,5.0,5.0,5.0,7.0,7.0,1.0,2.0,1.0,1.0,3.0,4.0,48.0,Yes,Tier 3
378,FAAVUF2100659154,G3M4R1,2020-07-15,Andhra Pradesh,Nellore,Home & Kitchen,Kitchen Appliances,4.2,1,699.0,101.29,18%,1st Wave,Tier_2,6,0,Yes,Butterfly,7,2020,Weekday,4.6179876896987055,Mid,Male,Automobile Engineer,Married,No,"Rs. 50,000 – 75,000",Credit Card,Yes,everyday,Yes,everyday,Sometimes,1.0,very often,4.0,4.0,5.0,3.0,5.0,6.0,6.0,7.0,5.0,4.0,5.0,3.0,5.0,4.0,4.0,6.0,7.0,5.0,3.0,3.0,4.0,5.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,5.0,5.0,5.0,7.0,7.0,1.0,2.0,1.0,1.0,3.0,4.0,48.0,Yes,Tier 3
379,FAAAAZ2100160337,G3M4R1,2020-04-26,Andhra Pradesh,Nellore,Food Products,Books,4.5,1,49.0,49.0,5%,1st Wave,Tier_2,82,82,No,Madhur,4,2020,Weekend,3.8918202981106265,End,Male,Automobile Engineer,Married,No,"Rs. 50,000 – 75,000",Credit Card,Yes,everyday,Yes,everyday,Sometimes,1.0,very often,4.0,4.0,5.0,3.0,5.0,6.0,6.0,7.0,5.0,4.0,5.0,3.0,5.0,4.0,4.0,6.0,7.0,5.0,3.0,3.0,4.0,5.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,5.0,5.0,5.0,7.0,7.0,1.0,2.0,1.0,1.0,3.0,4.0,48.0,Yes,Tier 3
380,FAC8WH2100000989,G3M4R1,2020-04-26,Andhra Pradesh,Nellore,Beauty and Grooming,Body & Face Skin Care,4.3,1,190.0,255.0,12%,1st Wave,Tier_2,0,35,No,Cipla,4,2020,Weekend,5.541263545158426,End,Male,Automobile Engineer,Married,No,"Rs. 50,000 – 75,000",Credit Card,Yes,everyday,Yes,everyday,Sometimes,1.0,very often,4.0,4.0,5.0,3.0,5.0,6.0,6.0,7.0,5.0,4.0,5.0,3.0,5.0,4.0,4.0,6.0,7.0,5.0,3.0,3.0,4.0,5.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,5.0,5.0,5.0,7.0,7.0,1.0,2.0,1.0,1.0,3.0,4.0,48.0,Yes,Tier 3
381,FADTO22100000049,G3M4R1,2020-04-26,Andhra Pradesh,Nellore,Beauty and Grooming,Body & Face Skin Care,3.3,1,360.0,425.0,12%,1st Wave,Tier_2,0,19,No,leeford,4,2020,Weekend,6.052089168924417,End,Male,Automobile Engineer,Married,No,"Rs. 50,000 – 75,000",Credit Card,Yes,everyday,Yes,everyday,Sometimes,1.0,very often,4.0,4.0,5.0,3.0,5.0,6.0,6.0,7.0,5.0,4.0,5.0,3.0,5.0,4.0,4.0,6.0,7.0,5.0,3.0,3.0,4.0,5.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,5.0,5.0,5.0,7.0,7.0,1.0,2.0,1.0,1.0,3.0,4.0,48.0,Yes,Tier 3
382,FAAAAZ2100102567,G3M4R1,2020-04-18,Andhra Pradesh,Nellore,Food Products,Books,4.5,1,49.0,49.0,5%,1st Wave,Tier_2,0,0,No,Madhur,4,2020,Weekend,3.8918202981106265,Mid,Male,Automobile Engineer,Married,No,"Rs. 50,000 – 75,000",Credit Card,Yes,everyday,Yes,everyday,Sometimes,1.0,very often,4.0,4.0,5.0,3.0,5.0,6.0,6.0,7.0,5.0,4.0,5.0,3.0,5.0,4.0,4.0,6.0,7.0,5.0,3.0,3.0,4.0,5.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,5.0,5.0,5.0,7.0,7.0,1.0,2.0,1.0,1.0,3.0,4.0,48.0,Yes,Tier 3
383,FABZDH2100065333,G3M4R1,2020-04-18,Andhra Pradesh,Nellore,Food Products,Edible Oil,4.4,1,105.0,105.0,5%,1st Wave,Tier_2,0,0,No,Freedom,4,2020,Weekend,4.653960350157523,Mid,Male,Automobile Engineer,Married,No,"Rs. 50,000 – 75,000",Credit Card,Yes,everyday,Yes,everyday,Sometimes,1.0,very often,4.0,4.0,5.0,3.0,5.0,6.0,6.0,7.0,5.0,4.0,5.0,3.0,5.0,4.0,4.0,6.0,7.0,5.0,3.0,3.0,4.0,5.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,5.0,5.0,5.0,7.0,7.0,1.0,2.0,1.0,1.0,3.0,4.0,48.0,Yes,Tier 3
384,FABZDH2100067091,G3M4R1,2020-04-18,Andhra Pradesh,Nellore,Food Products,Edible Oil,4.4,2,125.0,125.0,5%,1st Wave,Tier_2,0,0,No,Tata,4,2020,Weekend,4.8283137373023015,Mid,Male,Automobile Engineer,Married,No,"Rs. 50,000 – 75,000",Credit Card,Yes,everyday,Yes,everyday,Sometimes,1.0,very often,4.0,4.0,5.0,3.0,5.0,6.0,6.0,7.0,5.0,4.0,5.0,3.0,5.0,4.0,4.0,6.0,7.0,5.0,3.0,3.0,4.0,5.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,5.0,5.0,5.0,7.0,7.0,1.0,2.0,1.0,1.0,3.0,4.0,48.0,Yes,Tier 3
385,FABZDH2100068304,G3M4R1,2020-04-18,Andhra Pradesh,Nellore,Food Products,Noodle,4.4,1,77.0,77.0,12%,1st Wave,Tier_2,0,0,No,Maggi,4,2020,Weekend,4.343805421853684,Mid,Male,Automobile Engineer,Married,No,"Rs. 50,000 – 75,000",Credit Card,Yes,everyday,Yes,everyday,Sometimes,1.0,very often,4.0,4.0,5.0,3.0,5.0,6.0,6.0,7.0,5.0,4.0,5.0,3.0,5.0,4.0,4.0,6.0,7.0,5.0,3.0,3.0,4.0,5.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,5.0,5.0,5.0,7.0,7.0,1.0,2.0,1.0,1.0,3.0,4.0,48.0,Yes,Tier 3
386,FABZDH2100068867,G3M4R1,2020-04-18,Andhra Pradesh,Nellore,Food Products,Edible Oil,4.4,2,210.0,210.0,5%,1st Wave,Tier_2,0,0,No,Freedom,4,2020,Weekend,5.3471075307174685,Mid,Male,Automobile Engineer,Married,No,"Rs. 50,000 – 75,000",Credit Card,Yes,everyday,Yes,everyday,Sometimes,1.0,very often,4.0,4.0,5.0,3.0,5.0,6.0,6.0,7.0,5.0,4.0,5.0,3.0,5.0,4.0,4.0,6.0,7.0,5.0,3.0,3.0,4.0,5.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,5.0,5.0,5.0,7.0,7.0,1.0,2.0,1.0,1.0,3.0,4.0,48.0,Yes,Tier 3
387,FABZDH2100066729,G3M4R1,2020-04-19,Andhra Pradesh,Nellore,Food Products,Noodle,3.7,1,77.0,77.0,12%,1st Wave,Tier_2,0,0,No,Maggi,4,2020,Weekend,4.343805421853684,Mid,Male,Automobile Engineer,Married,No,"Rs. 50,000 – 75,000",Credit Card,Yes,everyday,Yes,everyday,Sometimes,1.0,very often,4.0,4.0,5.0,3.0,5.0,6.0,6.0,7.0,5.0,4.0,5.0,3.0,5.0,4.0,4.0,6.0,7.0,5.0,3.0,3.0,4.0,5.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,5.0,5.0,5.0,7.0,7.0,1.0,2.0,1.0,1.0,3.0,4.0,48.0,Yes,Tier 3
