,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
17,'Books','Home Medical Supplies',0.179521277,0.045212766,0.011968085,0.066666667,1.474509804,0.003851432,1.022986322
167,'Books',"'Headphones', 'Mobiles'",0.179521277,0.046542553,0.011968085,0.066666667,1.432380952,0.003612707,1.02156155
155,'Books',"'Headphones', ""Men's Footwear""",0.179521277,0.043882979,0.011968085,0.066666667,1.519191919,0.004090157,1.024411094
14,'Books','Health Care',0.179521277,0.051861702,0.011968085,0.066666667,1.285470085,0.002657806,1.015862462
221,'Mobile Accessories',"'Headphones', ""Men's Footwear""",0.195478723,0.043882979,0.011968085,0.06122449,1.395176252,0.003389896,1.018472479
173,'Mobile Accessories',"'Books', 'Mobiles'",0.195478723,0.033244681,0.011968085,0.06122449,1.841632653,0.005469457,1.029804579
64,'Headphones','HouseHold Supplies',0.196808511,0.026595745,0.011968085,0.060810811,2.286486486,0.006733816,1.03643043
193,'Mobiles',"'Bottomwear', 'Headphones'",0.196808511,0.025265957,0.011968085,0.060810811,2.406827881,0.00699553,1.037846319
89,'Mobiles','Health Care',0.196808511,0.051861702,0.011968085,0.060810811,1.172557173,0.001761261,1.009528547
111,'Mobiles','Kitchen Appliances',0.196808511,0.055851064,0.011968085,0.060810811,1.088803089,0.00097612,1.005280882
192,'Headphones',"'Bottomwear', 'Mobiles'",0.196808511,0.025265957,0.011968085,0.060810811,2.406827881,0.00699553,1.037846319
175,'Mobiles',"'Mobile Accessories', 'Books'",0.196808511,0.037234043,0.011968085,0.060810811,1.633204633,0.004640109,1.025103322
156,'Headphones',"'Books', ""Men's Footwear""",0.196808511,0.019946809,0.011968085,0.060810811,3.048648649,0.008042383,1.043509873
222,'Headphones',"'Mobile Accessories', ""Men's Footwear""",0.196808511,0.027925532,0.011968085,0.060810811,2.177606178,0.006472103,1.035014542
168,'Headphones',"'Books', 'Mobiles'",0.196808511,0.033244681,0.011968085,0.060810811,1.829189189,0.005425249,1.029350987
169,'Mobiles',"'Books', 'Headphones'",0.196808511,0.035904255,0.011968085,0.060810811,1.693693694,0.004901822,1.02651921
1,'Books','Bed Linen & Blankets',0.179521277,0.042553191,0.010638298,0.059259259,1.392592593,0.002999095,1.017758418
180,'Books',"'Mobile Accessories', 'Topwear'",0.179521277,0.022606383,0.010638298,0.059259259,2.621350763,0.006579971,1.038961719
24,'Books','Pens & Stationery',0.179521277,0.037234043,0.010638298,0.059259259,1.591534392,0.003953995,1.023412632
116,'Mobile Accessories','Luggage & Travel',0.195478723,0.030585106,0.010638298,0.054421769,1.77935522,0.00465956,1.025208557
149,'Mobile Accessories',"'Mobiles', 'Body & Face Skin Care'",0.195478723,0.021276596,0.010638298,0.054421769,2.557823129,0.006479176,1.035052809
251,'Mobile Accessories',"'Mobiles', ""Men's Footwear""",0.195478723,0.033244681,0.010638298,0.054421769,1.637006803,0.00413967,1.022395913
197,'Mobile Accessories',"'Bottomwear', ""Men's Footwear""",0.195478723,0.021276596,0.010638298,0.054421769,2.557823129,0.006479176,1.035052809
179,'Mobile Accessories',"'Books', 'Topwear'",0.195478723,0.027925532,0.010638298,0.054421769,1.948817622,0.005179451,1.0280212
215,'Mobile Accessories',"'Headphones', 'Health Care'",0.195478723,0.01462766,0.010638298,0.054421769,3.720470006,0.007778902,1.042084418
252,'Mobiles',"'Mobile Accessories', ""Men's Footwear""",0.196808511,0.027925532,0.010638298,0.054054054,1.935649936,0.005142316,1.027621581
186,'Headphones',"'Bottomwear', ""Men's Footwear""",0.196808511,0.021276596,0.010638298,0.054054054,2.540540541,0.006450883,1.034650456
139,'Mobiles','Utility Lighting',0.196808511,0.026595745,0.010638298,0.054054054,2.032432432,0.005404029,1.029027356
43,'Headphones','Cookware',0.196808511,0.031914894,0.010638298,0.054054054,1.693693694,0.004357175,1.023404255
61,'Headphones','Health Supplements',0.196808511,0.042553191,0.010638298,0.054054054,1.27027027,0.002263468,1.012158055
68,'Headphones','Laptops',0.196808511,0.018617021,0.010638298,0.054054054,2.903474903,0.00697431,1.037462006
81,'Headphones','Utility Lighting',0.196808511,0.026595745,0.010638298,0.054054054,2.032432432,0.005404029,1.029027356
150,'Mobiles',"'Mobile Accessories', 'Body & Face Skin Care'",0.196808511,0.019946809,0.010638298,0.054054054,2.70990991,0.006712596,1.036056231
204,'Mobiles',"'Bottomwear', ""Men's Footwear""",0.196808511,0.021276596,0.010638298,0.054054054,2.540540541,0.006450883,1.034650456
216,'Headphones',"'Mobile Accessories', 'Health Care'",0.196808511,0.022606383,0.010638298,0.054054054,2.391096979,0.006189169,1.033244681
