,index,Invoice ID,Name,Order Date,State,City,Categories,Subcategories,Ratings,Quantity,MRP,Final Price,GST%%,City_Tier,Discount%,Delivery Fee%,Brand,Sale,Covid,Month,Year,WEEKDAY,Log_Final Price,Time_Month,Gender,Current Job Title,Marital Status,Do you have to care for anyone with chronic illness?,Income (per month),Preferred Mode of Payment,Do you practise meditation? Yes/No,If yes,Do you do any form of exercise?,If yes.1, How often do you volunteer for social-service activities?,Hobbies_Count,How often do you pursue your hobbies?,Collectiv,Life_Satsif,Indiv,LongTermOri,ShortTermOri,Materialism,Spiritualism,EnvBehav,Age,has_child,Lives_in_city_tier,Clusters,More_than_average
890,931,OD118663067073012000,G5M2R8,2020-04-14,Uttar Pradesh,Kanpur,Health Care,Home Medical Supplies,4.6,1,469.0,509.0,5%,Tier_2,0,9,Venus,No,1st Wave,4,2020,Weekday,6.2324480165505225,Mid,Female,Client relation,Not Married,No,"Rs. 10,000 – 25,000",UPI,Yes,once or twice a week,Yes,once or twice a week,Always,2,sometimes,High,Low,High,High,Low,Low,Low,High,23,No,Tier_2,2,Yes
891,932,OD118767172324080000,G5M2R8,2020-05-21,Uttar Pradesh,Kanpur,Books,Books,4.4,1,145.0,145.0,0%,Tier_2,0,0,Word,No,1st Wave,5,2020,Weekday,4.976733742420574,End,Female,Client relation,Not Married,No,"Rs. 10,000 – 25,000",UPI,Yes,once or twice a week,Yes,once or twice a week,Always,2,sometimes,High,Low,High,High,Low,Low,Low,High,23,No,Tier_2,2,Yes
892,933,OD118805690858538000,G5M2R8,2020-05-29,Uttar Pradesh,Kanpur,Home Furnishing,Bed Linen & Blankets,3.8,1,249.0,249.0,5%,Tier_2,0,17,Metro,No,1st Wave,5,2020,Weekday,5.517452896464707,End,Female,Client relation,Not Married,No,"Rs. 10,000 – 25,000",UPI,Yes,once or twice a week,Yes,once or twice a week,Always,2,sometimes,High,Low,High,High,Low,Low,Low,High,23,No,Tier_2,2,Yes
893,934,OD118814377292382000,G5M2R8,2020-05-30,Uttar Pradesh,Kanpur,Pens & Stationery,Pens & Stationery,4.5,1,129.0,89.0,5%,Tier_2,32,32,Cello,No,1st Wave,5,2020,Weekend,4.48863636973214,End,Female,Client relation,Not Married,No,"Rs. 10,000 – 25,000",UPI,Yes,once or twice a week,Yes,once or twice a week,Always,2,sometimes,High,Low,High,High,Low,Low,Low,High,23,No,Tier_2,2,Yes
894,935,OD118848700496429000,G5M2R8,2020-06-03,Uttar Pradesh,Kanpur,Footwear,Men's Footwear,4.0,1,1198.0,1198.0,12%,Tier_2,0,0,Redtape,No,No,6,2020,Weekday,7.088408778675395,Beginning,Female,Client relation,Not Married,No,"Rs. 10,000 – 25,000",UPI,Yes,once or twice a week,Yes,once or twice a week,Always,2,sometimes,High,Low,High,High,Low,Low,Low,High,23,No,Tier_2,2,Yes
895,936,OD118926467380639000,G5M2R8,2020-06-04,Uttar Pradesh,Kanpur,Home Improvement,"Kitchen, Cookware & Serveware",4.0,1,799.0,799.0,12%,Tier_2,0,0,bartan,No,1st Wave,6,2020,Weekday,6.683360945766275,Beginning,Female,Client relation,Not Married,No,"Rs. 10,000 – 25,000",UPI,Yes,once or twice a week,Yes,once or twice a week,Always,2,sometimes,High,Low,High,High,Low,Low,Low,High,23,No,Tier_2,2,Yes
896,937,OD118959221938126000,G5M2R8,2020-06-08,Uttar Pradesh,Kanpur,"Kitchen, Cookware & Serveware",Kids Accessories,3.7,1,1169.0,1169.0,12%,Tier_2,0,0,pranish,No,1st Wave,6,2020,Weekday,7.063903961472068,Beginning,Female,Client relation,Not Married,No,"Rs. 10,000 – 25,000",UPI,Yes,once or twice a week,Yes,once or twice a week,Always,2,sometimes,High,Low,High,High,Low,Low,Low,High,23,No,Tier_2,2,Yes
897,938,OD118978165595501000,G5M2R8,2020-06-11,Uttar Pradesh,Kanpur,Footwear,Men's Footwear,4.2,1,245.0,283.0,18%,Tier_2,0,16,Cello,No,No,6,2020,Weekday,5.645446897643238,Mid,Female,Client relation,Not Married,No,"Rs. 10,000 – 25,000",UPI,Yes,once or twice a week,Yes,once or twice a week,Always,2,sometimes,High,Low,High,High,Low,Low,Low,High,23,No,Tier_2,2,Yes
898,939,OD119010164734881000,G5M2R8,2020-06-17,Uttar Pradesh,Kanpur,Clothing and Accessories,Automotive Accessories,3.6,1,379.0,379.0,12%,Tier_2,0,0,Maison,No,1st Wave,6,2020,Weekday,5.937536205082426,Mid,Female,Client relation,Not Married,No,"Rs. 10,000 – 25,000",UPI,Yes,once or twice a week,Yes,once or twice a week,Always,2,sometimes,High,Low,High,High,Low,Low,Low,High,23,No,Tier_2,2,Yes
899,940,OD119124091401546000,G5M2R8,2020-06-21,Uttar Pradesh,Kanpur,Clothing and Accessories,Bottomwear,4.0,1,277.0,318.0,0%,Tier_2,0,15,TT,No,1st Wave,6,2020,Weekend,5.762051382780177,End,Female,Client relation,Not Married,No,"Rs. 10,000 – 25,000",UPI,Yes,once or twice a week,Yes,once or twice a week,Always,2,sometimes,High,Low,High,High,Low,Low,Low,High,23,No,Tier_2,2,Yes
900,941,OD119168032341867000,G5M2R8,2020-06-23,Uttar Pradesh,Kanpur,Footwear,Men's Footwear,4.1,1,328.0,328.0,5%,Tier_2,0,0,Paragon,No,1st Wave,6,2020,Weekday,5.793013608384144,End,Female,Client relation,Not Married,No,"Rs. 10,000 – 25,000",UPI,Yes,once or twice a week,Yes,once or twice a week,Always,2,sometimes,High,Low,High,High,Low,Low,Low,High,23,No,Tier_2,2,Yes
901,942,OD119176996955174000,G5M2R8,2020-06-27,Uttar Pradesh,Kanpur,Home Furnishing,Cushions & Pillows,3.5,1,359.0,303.0,18%,Tier_2,16,12,Recron,Yes,1st Wave,6,2020,Weekend,5.713732805509369,End,Female,Client relation,Not Married,No,"Rs. 10,000 – 25,000",UPI,Yes,once or twice a week,Yes,once or twice a week,Always,2,sometimes,High,Low,High,High,Low,Low,Low,High,23,No,Tier_2,2,Yes
902,943,OD119358294290705000,G5M2R8,2020-07-10,Uttar Pradesh,Kanpur,Clothing and Accessories,Topwear,3.8,1,330.0,330.0,5%,Tier_2,0,0,Gritstones,No,1st Wave,7,2020,Weekday,5.799092654460526,Mid,Female,Client relation,Not Married,No,"Rs. 10,000 – 25,000",UPI,Yes,once or twice a week,Yes,once or twice a week,Always,2,sometimes,High,Low,High,High,Low,Low,Low,High,23,No,Tier_2,2,Yes
903,944,OD120818568259063000,G5M2R8,2021-01-22,Uttar Pradesh,Kanpur,Footwear,Men's Footwear,3.8,1,299.0,299.0,0%,Tier_2,0,0,Layasa,Yes,No,1,2021,Weekday,5.700443573390687,End,Female,Client relation,Not Married,No,"Rs. 10,000 – 25,000",UPI,Yes,once or twice a week,Yes,once or twice a week,Always,2,sometimes,High,Low,High,High,Low,Low,Low,High,23,No,Tier_2,2,Yes
904,945,OD121093922761631000,G5M2R8,2021-02-23,Uttar Pradesh,Kanpur,Clothing and Accessories,Topwear,4.0,1,465.0,465.0,5%,Tier_2,0,0,FastColors,Yes,No,2,2021,Weekday,6.142037405587356,End,Female,Client relation,Not Married,No,"Rs. 10,000 – 25,000",UPI,Yes,once or twice a week,Yes,once or twice a week,Always,2,sometimes,High,Low,High,High,Low,Low,Low,High,23,No,Tier_2,2,Yes
905,946,OD119358294290705000,G5M2R8,2020-08-06,Uttar Pradesh,Kanpur,Clothing and Accessories,Topwear,3.9,1,599.0,639.0,5%,Tier_2,0,7,Realone,No,1st Wave,8,2020,Weekday,6.459904454377535,Beginning,Female,Client relation,Not Married,No,"Rs. 10,000 – 25,000",UPI,Yes,once or twice a week,Yes,once or twice a week,Always,2,sometimes,High,Low,High,High,Low,Low,Low,High,23,No,Tier_2,2,Yes
906,947,OD119440593195947000,G5M2R8,2020-08-16,Uttar Pradesh,Kanpur,Home Improvement,Tools and Measuring Equipment,3.6,1,401.0,1.0,0%,Tier_2,100,10,Jackly,No,1st Wave,8,2020,Weekend,0.0,Mid,Female,Client relation,Not Married,No,"Rs. 10,000 – 25,000",UPI,Yes,once or twice a week,Yes,once or twice a week,Always,2,sometimes,High,Low,High,High,Low,Low,Low,High,23,No,Tier_2,2,Yes
907,948,OD119574082080117000,G5M2R8,2020-08-31,Uttar Pradesh,Kanpur,Books,Books,4.0,1,245.0,245.0,0%,Tier_2,0,0,Rapidex,No,1st Wave,8,2020,Weekday,5.501258210544727,End,Female,Client relation,Not Married,No,"Rs. 10,000 – 25,000",UPI,Yes,once or twice a week,Yes,once or twice a week,Always,2,sometimes,High,Low,High,High,Low,Low,Low,High,23,No,Tier_2,2,Yes
908,949,OD119591489020863000,G5M2R8,2020-09-02,Uttar Pradesh,Kanpur,Home Furnishing,Bed Linen & Blankets,4.0,1,649.0,649.0,5%,Tier_2,0,0,Dreamhom,No,No,9,2020,Weekday,6.47543271670409,Beginning,Female,Client relation,Not Married,No,"Rs. 10,000 – 25,000",UPI,Yes,once or twice a week,Yes,once or twice a week,Always,2,sometimes,High,Low,High,High,Low,Low,Low,High,23,No,Tier_2,2,Yes
909,950,OD119599872406517000,G5M2R8,2020-09-03,Uttar Pradesh,Kanpur,Home Furnishing,Bed Linen & Blankets,3.7,1,639.0,639.0,5%,Tier_2,0,0,Living,No,No,9,2020,Weekday,6.459904454377535,Beginning,Female,Client relation,Not Married,No,"Rs. 10,000 – 25,000",UPI,Yes,once or twice a week,Yes,once or twice a week,Always,2,sometimes,High,Low,High,High,Low,Low,Low,High,23,No,Tier_2,2,Yes
910,951,OD119933951285582000,G5M2R8,2020-10-12,Uttar Pradesh,Kanpur,Home Furnishing,Bed Linen & Blankets,4.0,1,849.0,849.0,5%,Tier_2,0,0,Spangle,No,No,10,2020,Weekday,6.744059186311348,Mid,Female,Client relation,Not Married,No,"Rs. 10,000 – 25,000",UPI,Yes,once or twice a week,Yes,once or twice a week,Always,2,sometimes,High,Low,High,High,Low,Low,Low,High,23,No,Tier_2,2,Yes
911,952,OD119977172404630000,G5M2R8,2020-10-17,Uttar Pradesh,Kanpur,Health Care,Health Supplements,4.1,1,1216.0,1039.0,5%,Tier_2,15,0,Himalya,Yes,1st Wave,10,2020,Weekend,6.946013991099227,Mid,Female,Client relation,Not Married,No,"Rs. 10,000 – 25,000",UPI,Yes,once or twice a week,Yes,once or twice a week,Always,2,sometimes,High,Low,High,High,Low,Low,Low,High,23,No,Tier_2,2,Yes
912,953,OD120453710352638000,G5M2R8,2020-10-17,Uttar Pradesh,Kanpur,Home Furnishing,Bed Linen & Blankets,4.2,1,699.0,566.0,5%,Tier_2,20,0,Raymond,Yes,1st Wave,10,2020,Weekend,6.338594078203183,Mid,Female,Client relation,Not Married,No,"Rs. 10,000 – 25,000",UPI,Yes,once or twice a week,Yes,once or twice a week,Always,2,sometimes,High,Low,High,High,Low,Low,Low,High,23,No,Tier_2,2,Yes
913,954,OD120455475286824000,G5M2R8,2020-10-17,Uttar Pradesh,Kanpur,Clothing and Accessories,Topwear,4.1,1,429.0,387.0,5%,Tier_2,10,0,Highlander,Yes,1st Wave,10,2020,Weekend,5.958424693029782,Mid,Female,Client relation,Not Married,No,"Rs. 10,000 – 25,000",UPI,Yes,once or twice a week,Yes,once or twice a week,Always,2,sometimes,High,Low,High,High,Low,Low,Low,High,23,No,Tier_2,2,Yes
914,955,OD120680439548213000,G5M2R8,2021-01-06,Uttar Pradesh,Kanpur,Clothing and Accessories,Bottomwear,4.3,1,1199.0,1078.0,5%,Tier_2,11,0,Redtape,No,2nd Wave,1,2021,Weekday,6.982862751468942,Beginning,Female,Client relation,Not Married,No,"Rs. 10,000 – 25,000",UPI,Yes,once or twice a week,Yes,once or twice a week,Always,2,sometimes,High,Low,High,High,Low,Low,Low,High,23,No,Tier_2,2,Yes
915,956,OD120805318765149000,G5M2R8,2021-01-21,Uttar Pradesh,Kanpur,Health & Personal Care Appliances,Health Care,4.1,1,759.0,683.0,18%,Tier_2,11,0,Health,Yes,No,1,2021,Weekday,6.52649485957079,End,Female,Client relation,Not Married,No,"Rs. 10,000 – 25,000",UPI,Yes,once or twice a week,Yes,once or twice a week,Always,2,sometimes,High,Low,High,High,Low,Low,Low,High,23,No,Tier_2,2,Yes
916,957,OD121098649785772000,G5M2R8,2021-02-24,Uttar Pradesh,Kanpur,Home Furnishing,Bed Linen & Blankets,4.3,1,799.0,719.0,5%,Tier_2,11,0,Spangle,Yes,No,2,2021,Weekday,6.577861357721047,End,Female,Client relation,Not Married,No,"Rs. 10,000 – 25,000",UPI,Yes,once or twice a week,Yes,once or twice a week,Always,2,sometimes,High,Low,High,High,Low,Low,Low,High,23,No,Tier_2,2,Yes
917,958,OD119985609976500000,G5M2R8,2020-10-18,Uttar Pradesh,Kanpur,Clothing and Accessories,Topwear,4.0,1,543.0,543.0,5%,Tier_2,0,0,FastColors,Yes,1st Wave,10,2020,Weekend,6.297109319933935,Mid,Female,Client relation,Not Married,No,"Rs. 10,000 – 25,000",UPI,Yes,once or twice a week,Yes,once or twice a week,Always,2,sometimes,High,Low,High,High,Low,Low,Low,High,23,No,Tier_2,2,Yes
918,959,OD120124191260072000,G5M2R8,2020-11-03,Uttar Pradesh,Kanpur,Clothing and Accessories,Winter Wear,4.4,1,943.0,943.0,5%,Tier_2,0,0,Breil,No,No,11,2020,Weekday,6.849066282633458,Beginning,Female,Client relation,Not Married,No,"Rs. 10,000 – 25,000",UPI,Yes,once or twice a week,Yes,once or twice a week,Always,2,sometimes,High,Low,High,High,Low,Low,Low,High,23,No,Tier_2,2,Yes
919,960,OD120196451943972000,G5M2R8,2020-11-11,Uttar Pradesh,Kanpur,Clothing and Accessories,Clothing Accessories,3.8,1,280.0,320.0,5%,Tier_2,0,15,Nikrokz,Yes,No,11,2020,Weekday,5.768320995793772,Mid,Female,Client relation,Not Married,No,"Rs. 10,000 – 25,000",UPI,Yes,once or twice a week,Yes,once or twice a week,Always,2,sometimes,High,Low,High,High,Low,Low,Low,High,23,No,Tier_2,2,Yes
920,961,OD120290874721180000,G5M2R8,2020-11-22,Uttar Pradesh,Kanpur,Footwear,Men's Footwear,4.0,1,599.0,599.0,5%,Tier_2,0,0,Action,No,No,11,2020,Weekend,6.395261598115449,End,Female,Client relation,Not Married,No,"Rs. 10,000 – 25,000",UPI,Yes,once or twice a week,Yes,once or twice a week,Always,2,sometimes,High,Low,High,High,Low,Low,Low,High,23,No,Tier_2,2,Yes
921,962,OD120295311586280000,G5M2R8,2020-11-23,Uttar Pradesh,Kanpur,Clothing and Accessories,Winter Wear,3.7,1,799.0,799.0,5%,Tier_2,0,0,Christy,No,No,11,2020,Weekday,6.683360945766275,End,Female,Client relation,Not Married,No,"Rs. 10,000 – 25,000",UPI,Yes,once or twice a week,Yes,once or twice a week,Always,2,sometimes,High,Low,High,High,Low,Low,Low,High,23,No,Tier_2,2,Yes
922,963,OD120437144312045000,G5M2R8,2020-12-09,Uttar Pradesh,Kanpur,Clothing and Accessories,Bottomwear,4.1,1,449.0,367.0,5%,Tier_2,19,0,Metronaut,No,1st Wave,12,2020,Weekday,5.905361848054571,Beginning,Female,Client relation,Not Married,No,"Rs. 10,000 – 25,000",UPI,Yes,once or twice a week,Yes,once or twice a week,Always,2,sometimes,High,Low,High,High,Low,Low,Low,High,23,No,Tier_2,2,Yes
923,964,OD120444035276015000,G5M2R8,2020-12-10,Uttar Pradesh,Kanpur,Clothing and Accessories,Winter Wear,4.2,1,883.0,838.0,5%,Tier_2,6,0,Breil,No,1st Wave,12,2020,Weekday,6.731018100482083,Mid,Female,Client relation,Not Married,No,"Rs. 10,000 – 25,000",UPI,Yes,once or twice a week,Yes,once or twice a week,Always,2,sometimes,High,Low,High,High,Low,Low,Low,High,23,No,Tier_2,2,Yes
924,965,OD120800890751904000,G5M2R8,2021-01-20,Uttar Pradesh,Kanpur,Footwear,Men's Footwear,4.2,1,1589.0,1389.0,18%,Tier_2,13,0,Reebok,No,No,1,2021,Weekday,7.236339342754344,End,Female,Client relation,Not Married,No,"Rs. 10,000 – 25,000",UPI,Yes,once or twice a week,Yes,once or twice a week,Always,2,sometimes,High,Low,High,High,Low,Low,Low,High,23,No,Tier_2,2,Yes
925,2999,OD118689897616317000,G5M2R8,2020-05-18,Uttar Pradesh,Kanpur,Books,Books,4.5,1,558.0,530.0,0%,Tier_2,6,0,How,No,1st Wave,5,2020,Weekday,6.272877006546167,Mid,Female,Client relation,Not Married,No,"Rs. 10,000 – 25,000",UPI,Yes,once or twice a week,Yes,once or twice a week,Always,2,sometimes,High,Low,High,High,Low,Low,Low,High,23,No,Tier_2,2,Yes
926,3000,OD118762892613251000,G5M2R8,2020-05-18,Uttar Pradesh,Kanpur,Books,Books,4.5,1,644.0,611.0,0%,Tier_2,6,0,Howto,No,1st Wave,5,2020,Weekday,6.415096959171596,Mid,Female,Client relation,Not Married,No,"Rs. 10,000 – 25,000",UPI,Yes,once or twice a week,Yes,once or twice a week,Always,2,sometimes,High,Low,High,High,Low,Low,Low,High,23,No,Tier_2,2,Yes
927,3001,OD120818568259063000,G5M2R8,2021-01-22,Uttar Pradesh,Kanpur,Footwear,Men's Footwear,4.0,1,299.0,299.0,0%,Tier_2,0,0,LAYASA,Yes,No,1,2021,Weekday,5.700443573390687,End,Female,Client relation,Not Married,No,"Rs. 10,000 – 25,000",UPI,Yes,once or twice a week,Yes,once or twice a week,Always,2,sometimes,High,Low,High,High,Low,Low,Low,High,23,No,Tier_2,2,Yes
928,3002,OD120479620572572000,G5M2R8,2020-10-17,Uttar Pradesh,Kanpur,Clothing and Accessories,Topwear,3.9,1,625.0,563.0,5%,Tier_2,10,0,ZOMBOM,Yes,1st Wave,10,2020,Weekend,6.333279628139691,Mid,Female,Client relation,Not Married,No,"Rs. 10,000 – 25,000",UPI,Yes,once or twice a week,Yes,once or twice a week,Always,2,sometimes,High,Low,High,High,Low,Low,Low,High,23,No,Tier_2,2,Yes
929,966,OD116728764911867000,G5M2R9,2019-10-07,Uttar Pradesh,Hamirpur,Mobiles & Accessories,Mobiles,4.1,1,16999.0,16999.0,12%,Tier_2,0,0,Realme,Yes,No,10,2019,Weekday,9.74090979777877,Beginning,Male,Technical officer,Married,No,"Rs. 1,50, 000 – 2,00, 000",Net Banking,Yes,everyday,Yes,everyday,Always,1,sometimes,Low,High,Low,High,High,Low,High,High,56,Yes,Tier_2,1,No
930,967,OD117222377174140000,G5M2R9,2019-12-03,Uttar Pradesh,Hamirpur,Health Care,Health Supplements,4.2,1,539.0,539.0,18%,Tier_2,0,0,Simply,Yes,No,12,2019,Weekday,6.289715570908998,Beginning,Male,Technical officer,Married,No,"Rs. 1,50, 000 – 2,00, 000",Net Banking,Yes,everyday,Yes,everyday,Always,1,sometimes,Low,High,Low,High,High,Low,High,High,56,Yes,Tier_2,1,No
931,968,OD118777661059171000,G5M2R9,2020-05-31,Uttar Pradesh,Hamirpur,Clothing and Accessories,Bottomwear,4.8,1,825.0,825.0,5%,Tier_2,0,0,Mountain,No,1st Wave,5,2020,Weekend,6.715383386334681,End,Male,Technical officer,Married,No,"Rs. 1,50, 000 – 2,00, 000",Net Banking,Yes,everyday,Yes,everyday,Always,1,sometimes,Low,High,Low,High,High,Low,High,High,56,Yes,Tier_2,1,No
932,969,OD119288403828716000,G5M2R9,2020-07-29,Uttar Pradesh,Hamirpur,Clothing and Accessories,Topwear,3.9,1,1449.0,1449.0,12%,Tier_2,0,0,Highlander,No,1st Wave,7,2020,Weekday,7.278628942320682,End,Male,Technical officer,Married,No,"Rs. 1,50, 000 – 2,00, 000",Net Banking,Yes,everyday,Yes,everyday,Always,1,sometimes,Low,High,Low,High,High,Low,High,High,56,Yes,Tier_2,1,No
933,970,OD122183443589119000,G5M2R9,2021-06-29,Uttar Pradesh,Hamirpur,Mobiles & Accessories,Mobiles,4.3,1,8499.0,8499.0,18%,Tier_2,0,0,Infinix,No,No,6,2021,Weekday,9.047703788498627,End,Male,Technical officer,Married,No,"Rs. 1,50, 000 – 2,00, 000",Net Banking,Yes,everyday,Yes,everyday,Always,1,sometimes,Low,High,Low,High,High,Low,High,High,56,Yes,Tier_2,1,No
934,971,OD122223025388813000,G5M2R10,2021-07-04,Uttar Pradesh,Kanpur,Wearable Smart Devices,Smart Watches,4.3,1,4999.0,3999.0,12%,Tier_2,21,0,Realme,No,2nd Wave,7,2021,Weekend,8.293799608846818,Beginning,Male,GET,Not Married,No,"Rs. 25,000 – 50,000",UPI,No,No,No,No,Sometimes,2,very often,High,Low,Low,High,Low,Low,Low,High,23,No,Tier_1,0,No
935,972,OD122413234891003000,G5M2R10,2021-07-26,Uttar Pradesh,Kanpur,Automotive Accessories,Vehicle Cleaners,4.1,1,139.0,139.0,18%,Tier_2,29,29,3M,Yes,No,7,2021,Weekday,4.9344739331306915,End,Male,GET,Not Married,No,"Rs. 25,000 – 50,000",UPI,No,No,No,No,Sometimes,2,very often,High,Low,Low,High,Low,Low,Low,High,23,No,Tier_1,0,No
936,973,OD122545542060722000,G5M2R10,2021-08-10,Uttar Pradesh,Kanpur,Beauty and Grooming,Hair Care and Accessory,4.1,1,188.0,188.0,18%,Tier_2,22,22,Set,No,No,8,2021,Weekday,5.236441962829949,Mid,Male,GET,Not Married,No,"Rs. 25,000 – 50,000",UPI,No,No,No,No,Sometimes,2,very often,High,Low,Low,High,Low,Low,Low,High,23,No,Tier_1,0,No
937,974,OD122569950696600000,G5M2R10,2021-08-13,Uttar Pradesh,Kanpur,Beauty and Grooming,Fragrances,4.3,1,137.0,137.0,18%,Tier_2,30,30,NIVEA,No,No,8,2021,Weekday,4.919980925828125,Mid,Male,GET,Not Married,No,"Rs. 25,000 – 50,000",UPI,No,No,No,No,Sometimes,2,very often,High,Low,Low,High,Low,Low,Low,High,23,No,Tier_1,0,No
938,975,OD116407847457413000,G5M3R1,2019-10-30,West Bengal,Howrah,Books,Books,4.6,1,161.0,161.0,0%,Tier 3,0,0,ESE,No,No,10,2019,Weekday,5.081404364984463,End,Male,Unemployed,Not Married,No,Prefer Not to Say,Any Other,No,No,No,No,Rarely,3,very often,High,Low,Low,High,Low,Low,High,High,26,No,Tier 3,2,Yes
939,976,OD118412239114938000,G5M3R1,2020-04-19,Delhi,New Delhi,Mobiles & Accessories,Mobiles,3.6,1,17999.0,17999.0,18%,Tier_1,0,0,POCO,No,1st Wave,4,2020,Weekend,9.798071479779479,Mid,Male,Unemployed,Not Married,No,Prefer Not to Say,Any Other,No,No,No,No,Rarely,3,very often,High,Low,Low,High,Low,Low,High,High,26,No,Tier 3,2,Yes
940,977,OD118544268910865000,G5M3R1,2020-04-05,Assam,Guwahati,Audio & Video,Headphones,3.9,1,3999.0,3999.0,18%,Tier_2,0,0,JBL,No,1st Wave,4,2020,Weekend,8.293799608846818,Beginning,Male,Unemployed,Not Married,No,Prefer Not to Say,Any Other,No,No,No,No,Rarely,3,very often,High,Low,Low,High,Low,Low,High,High,26,No,Tier 3,2,Yes
941,978,OD118672548044383000,G5M3R1,2020-05-19,West Bengal,Howrah,Audio & Video,Headphones,4.3,1,599.0,479.0,12%,Tier 3,21,0,Realme,No,1st Wave,5,2020,Weekday,6.171700597410915,Mid,Male,Unemployed,Not Married,No,Prefer Not to Say,Any Other,No,No,No,No,Rarely,3,very often,High,Low,Low,High,Low,Low,High,High,26,No,Tier 3,2,Yes
942,979,OD118691794233266000,G5M3R1,2020-05-21,Delhi,New Delhi,Mobiles & Accessories,Mobile Accessories,4.5,1,599.0,599.0,12%,Tier_1,0,0,Kapaver,No,1st Wave,5,2020,Weekday,6.395261598115449,End,Male,Unemployed,Not Married,No,Prefer Not to Say,Any Other,No,No,No,No,Rarely,3,very often,High,Low,Low,High,Low,Low,High,High,26,No,Tier 3,2,Yes
943,980,OD118691870315671000,G5M3R1,2020-05-21,Delhi,New Delhi,Mobiles & Accessories,Mobile Accessories,3.9,1,249.0,249.0,12%,Tier_1,0,0,SoftTech,No,1st Wave,5,2020,Weekday,5.517452896464707,End,Male,Unemployed,Not Married,No,Prefer Not to Say,Any Other,No,No,No,No,Rarely,3,very often,High,Low,Low,High,Low,Low,High,High,26,No,Tier 3,2,Yes
944,981,OD119051913633822000,G5M3R1,2020-02-07,West Bengal,Howrah,Computers,Gaming,3.9,1,330.0,355.0,18%,Tier 3,0,8,Zebronics,No,1st Wave,2,2020,Weekday,5.872117789475416,Beginning,Male,Unemployed,Not Married,No,Prefer Not to Say,Any Other,No,No,No,No,Rarely,3,very often,High,Low,Low,High,Low,Low,High,High,26,No,Tier 3,2,Yes
945,982,OD119208192492580000,G5M3R1,2020-07-20,West Bengal,Howrah,Mobiles & Accessories,Mobiles,4.0,1,17499.0,17499.0,18%,Tier 3,0,0,Motorola,No,1st Wave,7,2020,Weekday,9.769899015421748,End,Male,Unemployed,Not Married,No,Prefer Not to Say,Any Other,No,No,No,No,Rarely,3,very often,High,Low,Low,High,Low,Low,High,High,26,No,Tier 3,2,Yes
946,983,OD119281652378221000,G5M3R1,2020-07-29,Maharashtra,Mumbai,Food Products,Chocolates,4.4,1,315.0,315.0,18%,Tier_1,13,13,Cadbury,No,1st Wave,7,2020,Weekday,5.752572638825633,End,Male,Unemployed,Not Married,No,Prefer Not to Say,Any Other,No,No,No,No,Rarely,3,very often,High,Low,Low,High,Low,Low,High,High,26,No,Tier 3,2,Yes
947,984,OD119281670487757000,G5M3R1,2020-07-29,Maharashtra,Mumbai,Food Products,Chocolates,4.4,1,300.0,336.0,18%,Tier_1,0,12,Cadbury,No,1st Wave,7,2020,Weekday,5.817111159963204,End,Male,Unemployed,Not Married,No,Prefer Not to Say,Any Other,No,No,No,No,Rarely,3,very often,High,Low,Low,High,Low,Low,High,High,26,No,Tier 3,2,Yes
948,985,OD119281705406152000,G5M3R1,2020-07-29,Maharashtra,Mumbai,Food Products,Chocolates,4.4,1,315.0,315.0,18%,Tier_1,13,13,Cadbury,No,1st Wave,7,2020,Weekday,5.752572638825633,End,Male,Unemployed,Not Married,No,Prefer Not to Say,Any Other,No,No,No,No,Rarely,3,very often,High,Low,Low,High,Low,Low,High,High,26,No,Tier 3,2,Yes
949,986,OD119281737983582000,G5M3R1,2020-07-29,Maharashtra,Mumbai,Food Products,Chocolates,4.4,1,300.0,336.0,18%,Tier_1,0,12,Cadbury,No,1st Wave,7,2020,Weekday,5.817111159963204,End,Male,Unemployed,Not Married,No,Prefer Not to Say,Any Other,No,No,No,No,Rarely,3,very often,High,Low,Low,High,Low,Low,High,High,26,No,Tier 3,2,Yes
950,987,OD119294592476032000,G5M3R1,2020-07-30,West Bengal,Howrah,Mobiles & Accessories,Mobiles,4.3,1,9499.0,9499.0,18%,Tier 3,0,0,Motorola,No,1st Wave,7,2020,Weekday,9.158941808890182,End,Male,Unemployed,Not Married,No,Prefer Not to Say,Any Other,No,No,No,No,Rarely,3,very often,High,Low,Low,High,Low,Low,High,High,26,No,Tier 3,2,Yes
951,988,OD119960351441664000,G5M3R1,2020-10-15,West Bengal,Howrah,Mobiles & Accessories,Mobiles,4.3,1,18499.0,17249.0,18%,Tier 3,7,0,POCO,No,1st Wave,10,2020,Weekday,9.755509449764629,Mid,Male,Unemployed,Not Married,No,Prefer Not to Say,Any Other,No,No,No,No,Rarely,3,very often,High,Low,Low,High,Low,Low,High,High,26,No,Tier 3,2,Yes
952,989,OD119968026461054000,G5M3R1,2020-10-16,West Bengal,Malda,Mobiles & Accessories,Mobile Accessories,3.5,1,1399.0,1259.0,18%,Tier 3,11,0,Mi,No,1st Wave,10,2020,Weekday,7.138073034044347,Mid,Male,Unemployed,Not Married,No,Prefer Not to Say,Any Other,No,No,No,No,Rarely,3,very often,High,Low,Low,High,Low,Low,High,High,26,No,Tier 3,2,Yes
